id,first_name,last_name,email,department,salary,age,hire_date,is_active
33,Matthew,Rodriguez,emily.brown33@company.com,Engineering,60752,28,2016-06-06,False
34,Matthew,Johnson,david.jones34@company.com,Finance,135470,54,2021-01-31,True
35,Chris,Johnson,sarah.garcia35@company.com,Engineering,66018,28,2019-11-16,False
36,Michael,Williams,chris.miller36@company.com,HR,68532,43,2016-12-31,False
37,Emily,Garcia,jessica.davis37@company.com,HR,68442,44,2022-10-08,False
38,Amanda,Davis,matthew.rodriguez38@company.com,Finance,120507,24,2016-03-27,True
39,Sarah,Rodriguez,amanda.martinez39@company.com,Operations,52852,38,2023-04-05,False
40,John,Martinez,john.smith40@company.com,Engineering,138008,54,2010-08-29,False
41,Jane,Jones,jane.johnson41@company.com,Engineering,82915,27,2020-08-20,True
42,Matthew,Miller,michael.williams42@company.com,HR,93679,29,2016-08-05,False
43,Jessica,Garcia,emily.brown43@company.com,Sales,97207,43,2021-07-06,True
44,John,Brown,david.jones44@company.com,Sales,100967,52,2010-07-29,False
45,Matthew,Johnson,sarah.garcia45@company.com,Engineering,93618,23,2014-02-14,True
46,Amanda,Martinez,chris.miller46@company.com,Operations,90034,36,2012-06-27,False
47,Matthew,Davis,jessica.davis47@company.com,Sales,91662,25,2012-11-10,True
48,Chris,Martinez,matthew.rodriguez48@company.com,Finance,87616,63,2017-04-21,False
49,John,Smith,amanda.martinez49@company.com,Operations,99857,24,2022-06-01,False
50,Chris,Miller,john.smith50@company.com,HR,137060,26,2017-02-17,False
51,Emily,Miller,jane.johnson51@company.com,Marketing,59580,37,2022-12-30,False
52,Sarah,Davis,michael.williams52@company.com,Finance,105818,44,2023-05-02,False
53,John,Jones,emily.brown53@company.com,HR,105575,41,2012-01-15,True
54,Amanda,Johnson,david.jones54@company.com,Marketing,132465,62,2013-07-16,False
55,Chris,Smith,sarah.garcia55@company.com,Sales,133592,61,2016-09-05,False
56,Jane,Brown,chris.miller56@company.com,Engineering,130961,54,2019-03-19,True
57,David,Brown,jessica.davis57@company.com,Engineering,121049,36,2017-04-06,False
58,Matthew,Garcia,matthew.rodriguez58@company.com,Finance,142101,36,2018-12-01,False
59,Michael,Miller,amanda.martinez59@company.com,Finance,145704,33,2017-08-22,False
60,Michael,Rodriguez,john.smith60@company.com,Marketing,138724,26,2012-01-11,False
61,John,Davis,jane.johnson61@company.com,Operations,70661,58,2023-01-18,True
62,Jane,Garcia,michael.williams62@company.com,Engineering,71652,46,2010-08-21,False
63,Jessica,Brown,emily.brown63@company.com,Sales,113891,35,2014-05-17,True
64,Sarah,Williams,david.jones64@company.com,Engineering,132405,62,2010-12-09,False
65,David,Johnson,sarah.garcia65@company.com,Finance,112916,45,2019-07-12,False
66,Chris,Brown,chris.miller66@company.com,Engineering,52861,27,2010-05-07,True
67,David,Martinez,jessica.davis67@company.com,Engineering,76406,63,2021-08-20,True
68,Emily,Brown,matthew.rodriguez68@company.com,Operations,94851,47,2015-09-04,False
69,Matthew,Martinez,amanda.martinez69@company.com,Sales,69288,62,2019-10-12,False
70,Jane,Rodriguez,john.smith70@company.com,HR,72242,49,2017-02-24,True
71,Jessica,Smith,jane.johnson71@company.com,Marketing,131762,40,2014-06-19,True
72,Michael,Jones,michael.williams72@company.com,Finance,133276,45,2021-06-19,False
73,Matthew,Garcia,emily.brown73@company.com,Marketing,108384,27,2021-01-06,True
74,Sarah,Johnson,david.jones74@company.com,HR,101376,26,2012-06-04,True
75,John,Brown,sarah.garcia75@company.com,Finance,118562,22,2017-02-10,True
76,Matthew,Johnson,chris.miller76@company.com,Engineering,63608,43,2014-07-26,False
77,Chris,Garcia,jessica.davis77@company.com,HR,118642,32,2017-04-29,True
78,David,Jones,matthew.rodriguez78@company.com,Engineering,94766,62,2012-05-15,True
79,Sarah,Martinez,amanda.martinez79@company.com,Operations,87270,28,2021-02-11,False
80,John,Davis,john.smith80@company.com,Sales,149788,34,2011-01-12,False
81,Michael,Rodriguez,jane.johnson81@company.com,Sales,119595,39,2011-12-16,True
82,Jessica,Martinez,michael.williams82@company.com,HR,120853,46,2022-01-13,True
83,David,Williams,emily.brown83@company.com,Engineering,59054,29,2013-08-08,False
84,Jessica,Brown,david.jones84@company.com,Operations,92281,35,2014-06-23,False
85,David,Rodriguez,sarah.garcia85@company.com,HR,65748,28,2014-10-03,False
86,David,Rodriguez,chris.miller86@company.com,HR,116657,34,2018-06-17,False
87,David,Rodriguez,jessica.davis87@company.com,Sales,69569,30,2022-12-25,True
88,David,Brown,matthew.rodriguez88@company.com,HR,84473,47,2013-08-22,False
89,Amanda,Jones,amanda.martinez89@company.com,Finance,84419,43,2021-03-23,True
90,Jessica,Martinez,john.smith90@company.com,Operations,101731,33,2010-09-16,False
91,John,Johnson,jane.johnson91@company.com,Marketing,91149,61,2020-02-07,False
92,David,Davis,michael.williams92@company.com,Operations,105957,62,2022-09-30,True
93,Emily,Smith,emily.brown93@company.com,Engineering,116324,47,2022-09-02,False
94,Chris,Davis,david.jones94@company.com,Sales,107851,29,2020-04-25,True
95,David,Smith,sarah.garcia95@company.com,Marketing,135705,22,2010-01-11,True
96,Emily,Davis,chris.miller96@company.com,Operations,104413,29,2011-05-04,False
97,Jessica,Davis,jessica.davis97@company.com,HR,126092,64,2012-10-23,False
98,Jessica,Martinez,matthew.rodriguez98@company.com,Marketing,100012,28,2013-09-27,True
99,Amanda,Johnson,amanda.martinez99@company.com,Finance,128977,54,2019-02-04,False
100,Jane,Garcia,john.smith100@company.com,Engineering,78564,60,2011-10-10,False
101,Jane,Miller,jane.johnson101@company.com,Engineering,93908,64,2017-04-08,True
102,Emily,Martinez,michael.williams102@company.com,Engineering,88378,43,2010-04-18,True
103,Emily,Rodriguez,emily.brown103@company.com,HR,67386,36,2015-09-24,False
104,Jane,Williams,david.jones104@company.com,Marketing,126733,49,2020-08-02,False
105,John,Smith,sarah.garcia105@company.com,Operations,96109,61,2020-05-24,False
106,Matthew,Miller,chris.miller106@company.com,HR,98959,54,2017-08-17,False
107,Jane,Smith,jessica.davis107@company.com,Finance,81463,56,2012-10-29,False
108,David,Johnson,matthew.rodriguez108@company.com,Sales,126510,47,2018-10-19,True
109,Emily,Johnson,amanda.martinez109@company.com,Operations,60141,26,2020-03-24,False
110,Chris,Jones,john.smith110@company.com,Sales,129708,26,2016-08-07,False
111,Amanda,Williams,jane.johnson111@company.com,Finance,72712,40,2023-03-31,True
112,Matthew,Williams,michael.williams112@company.com,Marketing,75468,41,2019-08-03,False
113,Sarah,Martinez,emily.brown113@company.com,Marketing,55089,43,2017-12-31,False
114,Emily,Williams,david.jones114@company.com,Finance,116791,45,2021-05-29,True
115,Emily,Brown,sarah.garcia115@company.com,Engineering,148974,60,2011-05-07,False
116,Emily,Williams,chris.miller116@company.com,Sales,117047,31,2021-02-19,False
117,Michael,Rodriguez,jessica.davis117@company.com,HR,131686,56,2019-10-11,False
118,David,Davis,matthew.rodriguez118@company.com,Engineering,56507,47,2020-09-11,True
119,Amanda,Brown,amanda.martinez119@company.com,Marketing,113145,58,2018-10-04,False
120,Emily,Rodriguez,john.smith120@company.com,Marketing,61035,28,2011-12-03,True
121,Sarah,Rodriguez,jane.johnson121@company.com,Finance,130377,50,2017-04-24,True
122,Jessica,Davis,michael.williams122@company.com,Engineering,104685,45,2017-04-20,False
123,Emily,Garcia,emily.brown123@company.com,Sales,144501,59,2023-05-02,False
124,Chris,Garcia,david.jones124@company.com,Marketing,141924,34,2016-01-03,False
125,Michael,Rodriguez,sarah.garcia125@company.com,HR,114645,22,2012-11-18,False
126,Amanda,Williams,chris.miller126@company.com,Marketing,83033,50,2023-08-19,False
127,Jane,Johnson,jessica.davis127@company.com,Operations,50417,22,2012-08-06,True
128,Michael,Davis,matthew.rodriguez128@company.com,Engineering,79374,44,2012-02-07,False
129,Jane,Miller,amanda.martinez129@company.com,Sales,121389,24,2014-11-27,True
130,Jane,Smith,john.smith130@company.com,Finance,145191,22,2010-01-31,False
131,Amanda,Brown,jane.johnson131@company.com,Engineering,125444,59,2021-10-13,False
132,Chris,Rodriguez,michael.williams132@company.com,Marketing,81797,64,2012-12-17,True
133,John,Williams,emily.brown133@company.com,Finance,92155,42,2010-08-27,False
134,Sarah,Jones,david.jones134@company.com,HR,69738,41,2023-04-07,True
135,Jessica,Garcia,sarah.garcia135@company.com,HR,70967,24,2018-07-17,False
136,Sarah,Brown,chris.miller136@company.com,Sales,59284,34,2019-03-09,False
137,Amanda,Brown,jessica.davis137@company.com,Sales,135867,58,2020-09-10,True
138,Jane,Smith,matthew.rodriguez138@company.com,Sales,98488,53,2010-12-15,False
139,David,Garcia,amanda.martinez139@company.com,Finance,59826,43,2014-12-08,False
140,Sarah,Davis,john.smith140@company.com,Finance,97283,32,2014-11-05,False
141,Amanda,Johnson,jane.johnson141@company.com,Finance,78413,43,2014-11-21,True
142,Matthew,Johnson,michael.williams142@company.com,Sales,127565,35,2011-06-04,True
143,John,Miller,emily.brown143@company.com,Marketing,146184,47,2023-08-26,True
144,Amanda,Miller,david.jones144@company.com,Finance,95936,64,2014-05-30,True
145,David,Williams,sarah.garcia145@company.com,Finance,104459,54,2022-06-19,False
146,Emily,Miller,chris.miller146@company.com,Sales,143338,25,2016-01-24,True
147,John,Martinez,jessica.davis147@company.com,Operations,111145,49,2016-02-16,False
148,Sarah,Davis,matthew.rodriguez148@company.com,Finance,96036,37,2021-01-22,True
149,Matthew,Martinez,amanda.martinez149@company.com,Engineering,73126,52,2011-08-28,True
150,Sarah,Garcia,john.smith150@company.com,HR,140455,26,2012-11-13,False
151,Amanda,Garcia,jane.johnson151@company.com,Operations,112002,60,2013-05-27,True
152,Jessica,Johnson,michael.williams152@company.com,HR,86523,38,2016-02-02,True
153,Matthew,Davis,emily.brown153@company.com,Operations,66900,53,2019-06-06,False
154,Matthew,Miller,david.jones154@company.com,HR,92462,39,2017-06-12,False
155,Emily,Davis,sarah.garcia155@company.com,Marketing,62165,53,2017-04-07,True
156,Jessica,Garcia,chris.miller156@company.com,Finance,59053,58,2016-07-16,True
157,Jessica,Johnson,jessica.davis157@company.com,Engineering,119193,31,2021-11-15,True
158,Jane,Miller,matthew.rodriguez158@company.com,HR,93611,23,2023-12-24,True
159,David,Davis,amanda.martinez159@company.com,Sales,75660,42,2016-12-27,False
160,Michael,Johnson,john.smith160@company.com,HR,94801,35,2015-01-28,False
161,Michael,Rodriguez,jane.johnson161@company.com,Finance,127261,37,2017-10-30,False
162,Amanda,Johnson,michael.williams162@company.com,Sales,70859,51,2011-07-17,False
163,Chris,Miller,emily.brown163@company.com,HR,117021,45,2016-06-25,True
164,Matthew,Martinez,david.jones164@company.com,Engineering,115605,37,2021-03-02,False
165,Amanda,Williams,sarah.garcia165@company.com,Sales,109876,28,2013-11-01,False
166,Matthew,Davis,chris.miller166@company.com,Engineering,93785,53,2017-08-29,False
167,Emily,Jones,jessica.davis167@company.com,HR,79639,58,2011-11-02,True
168,Amanda,Rodriguez,matthew.rodriguez168@company.com,Sales,133782,53,2012-03-05,False
169,Jane,Martinez,amanda.martinez169@company.com,Sales,95527,64,2020-03-06,True
170,Amanda,Jones,john.smith170@company.com,Engineering,76874,24,2023-12-06,True
171,Jessica,Johnson,jane.johnson171@company.com,Sales,126217,46,2016-06-14,False
172,Michael,Rodriguez,michael.williams172@company.com,Finance,143801,63,2012-10-17,True
173,Jessica,Rodriguez,emily.brown173@company.com,Sales,139918,37,2022-01-02,True
174,Emily,Davis,david.jones174@company.com,Engineering,132218,24,2014-07-04,True
175,Matthew,Williams,sarah.garcia175@company.com,Finance,124200,37,2013-01-20,False
176,David,Williams,chris.miller176@company.com,Sales,140010,60,2013-06-17,False
177,Jane,Martinez,jessica.davis177@company.com,Operations,94036,36,2018-11-04,False
178,John,Williams,matthew.rodriguez178@company.com,Finance,71570,22,2016-12-31,True
179,David,Martinez,amanda.martinez179@company.com,Sales,72842,39,2022-08-30,False
180,David,Brown,john.smith180@company.com,HR,67402,65,2020-12-22,False
181,Matthew,Johnson,jane.johnson181@company.com,Engineering,116789,33,2010-11-08,True
182,Matthew,Garcia,michael.williams182@company.com,Finance,121903,37,2011-06-18,False
183,Chris,Williams,emily.brown183@company.com,Finance,67354,55,2015-12-06,False
184,John,Johnson,david.jones184@company.com,Sales,124314,42,2014-08-09,False
185,Amanda,Smith,sarah.garcia185@company.com,Marketing,63135,40,2011-08-07,True
186,Sarah,Davis,chris.miller186@company.com,Operations,120861,25,2017-03-31,True
187,Chris,Johnson,jessica.davis187@company.com,HR,122884,40,2023-07-15,False
188,Emily,Brown,matthew.rodriguez188@company.com,Operations,56993,58,2013-03-09,False
189,Matthew,Rodriguez,amanda.martinez189@company.com,HR,140963,57,2015-04-04,False
190,Sarah,Jones,john.smith190@company.com,Sales,96626,44,2023-06-23,True
191,John,Smith,jane.johnson191@company.com,Sales,53750,30,2019-10-01,True
192,Emily,Williams,michael.williams192@company.com,Operations,114368,55,2011-03-31,False
193,Sarah,Garcia,emily.brown193@company.com,Finance,118437,35,2011-09-14,True
194,Jane,Williams,david.jones194@company.com,Operations,58632,51,2011-06-10,False
195,Chris,Williams,sarah.garcia195@company.com,Engineering,52351,26,2014-03-19,True
196,Amanda,Davis,chris.miller196@company.com,Sales,94052,41,2018-07-09,False
197,Amanda,Davis,jessica.davis197@company.com,HR,61906,61,2013-02-15,False
198,Amanda,Davis,matthew.rodriguez198@company.com,Sales,70855,30,2016-07-22,True
199,Jane,Garcia,amanda.martinez199@company.com,Marketing,147640,43,2011-08-08,False
200,Michael,Jones,john.smith200@company.com,Operations,90354,56,2016-10-05,True
201,Jessica,Rodriguez,jane.johnson201@company.com,HR,94449,64,2020-11-27,True
202,David,Miller,michael.williams202@company.com,Finance,145467,32,2023-06-08,False
203,Emily,Garcia,emily.brown203@company.com,Sales,124457,57,2020-11-29,True
204,Sarah,Martinez,david.jones204@company.com,Finance,142122,27,2014-08-15,False
205,Amanda,Williams,sarah.garcia205@company.com,Finance,116849,29,2020-01-28,False
206,Jane,Jones,chris.miller206@company.com,Operations,98408,53,2014-01-28,False
207,Jane,Miller,jessica.davis207@company.com,Operations,118046,61,2012-11-23,True
208,John,Garcia,matthew.rodriguez208@company.com,Marketing,131004,58,2018-06-15,False
209,Matthew,Miller,amanda.martinez209@company.com,Operations,147773,35,2015-07-13,False
210,David,Smith,john.smith210@company.com,Marketing,70858,54,2022-11-28,True
211,John,Williams,jane.johnson211@company.com,Sales,134211,58,2021-09-27,False
212,Emily,Brown,michael.williams212@company.com,Operations,87004,53,2014-11-27,True
213,Jane,Smith,emily.brown213@company.com,Operations,52131,42,2021-04-05,False
214,Chris,Davis,david.jones214@company.com,Engineering,81195,32,2010-12-30,True
215,David,Smith,sarah.garcia215@company.com,Sales,73376,49,2016-03-11,True
216,Jessica,Garcia,chris.miller216@company.com,Operations,71969,29,2016-07-17,True
217,Amanda,Brown,jessica.davis217@company.com,HR,125271,52,2021-03-25,False
218,Matthew,Jones,matthew.rodriguez218@company.com,Marketing,63252,57,2023-07-28,True
219,Emily,Williams,amanda.martinez219@company.com,Operations,112085,53,2016-08-18,True
220,Emily,Miller,john.smith220@company.com,Engineering,130988,34,2020-12-27,False
221,Sarah,Davis,jane.johnson221@company.com,Engineering,118219,44,2016-09-20,True
222,David,Smith,michael.williams222@company.com,Marketing,62298,42,2021-09-23,False
223,Michael,Williams,emily.brown223@company.com,Sales,73529,28,2019-08-13,True
224,Amanda,Williams,david.jones224@company.com,Operations,81679,34,2020-12-05,True
225,Michael,Smith,sarah.garcia225@company.com,Operations,105318,24,2020-11-30,True
226,Jessica,Johnson,chris.miller226@company.com,Finance,76043,49,2021-01-17,False
227,John,Garcia,jessica.davis227@company.com,Finance,52219,49,2016-05-12,True
228,Sarah,Garcia,matthew.rodriguez228@company.com,HR,132865,32,2021-03-31,True
229,Jessica,Jones,amanda.martinez229@company.com,Sales,112822,64,2016-09-25,True
230,Matthew,Johnson,john.smith230@company.com,Operations,95110,47,2021-05-04,False
231,David,Williams,jane.johnson231@company.com,Sales,147157,22,2022-04-05,False
232,Matthew,Jones,michael.williams232@company.com,Marketing,68244,56,2022-11-17,True
233,Sarah,Rodriguez,emily.brown233@company.com,HR,128425,40,2018-09-15,False
234,Emily,Brown,david.jones234@company.com,Engineering,73777,48,2020-11-19,False
235,John,Rodriguez,sarah.garcia235@company.com,Finance,85173,47,2015-02-03,False
236,Jane,Miller,chris.miller236@company.com,Finance,104014,37,2017-05-23,True
237,Emily,Miller,jessica.davis237@company.com,Marketing,90862,65,2013-05-18,True
238,Jane,Johnson,matthew.rodriguez238@company.com,Operations,80472,56,2014-04-26,False
239,Matthew,Johnson,amanda.martinez239@company.com,Marketing,50885,64,2010-04-02,False
240,Jessica,Garcia,john.smith240@company.com,HR,81807,23,2011-11-07,True
241,Emily,Martinez,jane.johnson241@company.com,Finance,69109,40,2022-07-17,True
242,Jessica,Davis,michael.williams242@company.com,Sales,115943,34,2010-12-22,True
243,Sarah,Miller,emily.brown243@company.com,HR,107605,37,2013-04-29,False
244,John,Williams,david.jones244@company.com,Sales,100774,34,2012-06-29,True
245,David,Martinez,sarah.garcia245@company.com,Sales,108655,43,2021-04-22,False
246,Jessica,Garcia,chris.miller246@company.com,HR,89418,65,2011-11-03,False
247,Chris,Smith,jessica.davis247@company.com,Engineering,143540,54,2018-03-20,False
248,Emily,Williams,matthew.rodriguez248@company.com,HR,94871,38,2013-05-19,False
249,David,Miller,amanda.martinez249@company.com,Marketing,129733,49,2013-07-29,True
250,David,Smith,john.smith250@company.com,Marketing,68635,28,2018-04-19,True
251,David,Martinez,jane.johnson251@company.com,Engineering,116073,57,2013-06-10,False
252,Chris,Williams,michael.williams252@company.com,Finance,103912,45,2022-05-22,True
253,Chris,Miller,emily.brown253@company.com,Sales,78360,59,2018-09-25,False
254,Sarah,Miller,david.jones254@company.com,Engineering,59087,29,2014-06-21,True
255,Chris,Williams,sarah.garcia255@company.com,Sales,109274,65,2013-07-22,False
256,Matthew,Miller,chris.miller256@company.com,Operations,143308,62,2017-10-03,False
257,John,Garcia,jessica.davis257@company.com,HR,148258,49,2023-11-04,True
258,Sarah,Davis,matthew.rodriguez258@company.com,HR,83531,38,2013-08-03,False
259,Amanda,Rodriguez,amanda.martinez259@company.com,Engineering,68557,33,2016-02-24,False
260,Emily,Miller,john.smith260@company.com,HR,102141,28,2021-09-03,False
261,Jane,Rodriguez,jane.johnson261@company.com,Operations,95085,62,2010-05-13,True
262,Michael,Martinez,michael.williams262@company.com,Operations,128659,27,2015-08-11,False
263,Michael,Davis,emily.brown263@company.com,Operations,132519,31,2013-11-16,True
264,John,Garcia,david.jones264@company.com,HR,102534,31,2019-02-22,False
265,Emily,Smith,sarah.garcia265@company.com,HR,114147,36,2010-04-29,False
266,Michael,Davis,chris.miller266@company.com,Engineering,55351,44,2020-12-07,False
267,Amanda,Rodriguez,jessica.davis267@company.com,Sales,115985,62,2018-10-14,True
268,Sarah,Miller,matthew.rodriguez268@company.com,Operations,75010,39,2023-03-31,False
269,Emily,Williams,amanda.martinez269@company.com,Engineering,71026,58,2018-03-22,True
270,John,Martinez,john.smith270@company.com,Finance,125103,58,2013-10-28,False
271,Amanda,Williams,jane.johnson271@company.com,Marketing,122736,58,2012-09-20,True
272,Jane,Davis,michael.williams272@company.com,Operations,87122,23,2017-11-28,True
273,Jane,Martinez,emily.brown273@company.com,HR,86637,38,2015-12-17,True
274,Jessica,Smith,david.jones274@company.com,Marketing,98164,61,2019-02-27,False
275,Michael,Miller,sarah.garcia275@company.com,Engineering,52873,50,2020-03-13,True
276,Sarah,Brown,chris.miller276@company.com,Finance,118595,42,2011-11-16,True
277,John,Smith,jessica.davis277@company.com,Operations,59299,53,2014-06-13,True
278,Sarah,Jones,matthew.rodriguez278@company.com,Engineering,94664,41,2021-05-12,False
279,John,Brown,amanda.martinez279@company.com,Engineering,85695,48,2017-04-27,True
280,David,Davis,john.smith280@company.com,Sales,142405,41,2018-03-29,False
281,Jane,Garcia,jane.johnson281@company.com,Marketing,143490,31,2010-04-01,True
282,Jessica,Jones,michael.williams282@company.com,Operations,68935,34,2012-03-09,False
283,Chris,Johnson,emily.brown283@company.com,HR,95870,45,2017-11-12,False
284,Jessica,Brown,david.jones284@company.com,Operations,80005,56,2010-06-27,False
285,Amanda,Garcia,sarah.garcia285@company.com,Marketing,122681,27,2018-03-02,False
286,Sarah,Johnson,chris.miller286@company.com,HR,82823,26,2016-01-16,False
287,David,Brown,jessica.davis287@company.com,Sales,101629,65,2022-10-31,True
288,Jane,Garcia,matthew.rodriguez288@company.com,Engineering,109167,30,2011-04-18,True
289,David,Rodriguez,amanda.martinez289@company.com,Engineering,103684,39,2016-12-09,False
290,John,Johnson,john.smith290@company.com,Operations,107006,30,2012-03-12,True
291,David,Miller,jane.johnson291@company.com,Finance,80336,64,2013-06-15,True
292,David,Williams,michael.williams292@company.com,Operations,85555,62,2011-05-21,True
293,John,Martinez,emily.brown293@company.com,Sales,74363,39,2019-03-17,False
294,Michael,Miller,david.jones294@company.com,Marketing,127510,38,2014-05-24,True
295,Emily,Jones,sarah.garcia295@company.com,Sales,110858,42,2013-12-25,False
296,David,Smith,chris.miller296@company.com,Engineering,93006,42,2019-02-05,False
297,Sarah,Williams,jessica.davis297@company.com,Marketing,60459,55,2016-04-17,True
298,Chris,Johnson,matthew.rodriguez298@company.com,HR,138135,29,2012-12-13,False
299,Matthew,Johnson,amanda.martinez299@company.com,Engineering,68576,27,2019-08-23,True
300,David,Johnson,john.smith300@company.com,Finance,62081,24,2015-07-30,True
301,Matthew,Brown,jane.johnson301@company.com,HR,131999,64,2022-02-22,True
302,Matthew,Smith,michael.williams302@company.com,HR,106118,36,2010-06-01,False
303,Chris,Davis,emily.brown303@company.com,Finance,84092,54,2011-06-21,False
304,Amanda,Davis,david.jones304@company.com,Operations,99547,35,2017-09-16,True
305,Michael,Miller,sarah.garcia305@company.com,Sales,111195,46,2013-10-09,True
306,Jessica,Williams,chris.miller306@company.com,Marketing,74187,31,2022-03-04,True
307,Sarah,Williams,jessica.davis307@company.com,Sales,127501,36,2010-06-09,True
308,David,Martinez,matthew.rodriguez308@company.com,HR,149781,28,2021-01-03,True
309,Emily,Brown,amanda.martinez309@company.com,HR,121658,27,2013-03-14,False
310,Jessica,Garcia,john.smith310@company.com,Marketing,104867,44,2020-05-19,False
311,Chris,Smith,jane.johnson311@company.com,Sales,78005,32,2019-05-07,True
312,Jessica,Rodriguez,michael.williams312@company.com,Sales,91583,48,2016-05-27,True
313,Michael,Miller,emily.brown313@company.com,HR,60971,41,2012-03-21,True
314,David,Johnson,david.jones314@company.com,Sales,110795,28,2013-11-06,True
315,Amanda,Garcia,sarah.garcia315@company.com,Finance,85572,28,2014-04-16,True
316,David,Williams,chris.miller316@company.com,Operations,106678,36,2014-01-06,False
317,Emily,Brown,jessica.davis317@company.com,Marketing,54110,59,2023-10-03,True
318,Emily,Jones,matthew.rodriguez318@company.com,HR,91280,40,2012-04-20,True
319,Emily,Smith,amanda.martinez319@company.com,Operations,82308,62,2017-03-29,False
320,Matthew,Martinez,john.smith320@company.com,Engineering,103740,57,2013-10-24,True
321,Sarah,Brown,jane.johnson321@company.com,Sales,134079,40,2012-05-28,True
322,Jessica,Smith,michael.williams322@company.com,Operations,99079,33,2012-12-19,True
323,Michael,Brown,emily.brown323@company.com,Marketing,126732,63,2011-03-31,False
324,Jane,Martinez,david.jones324@company.com,Operations,84290,48,2014-08-23,False
325,David,Martinez,sarah.garcia325@company.com,Operations,116448,61,2018-03-05,False
326,Jane,Williams,chris.miller326@company.com,Marketing,113448,50,2011-07-01,False
327,Jessica,Williams,jessica.davis327@company.com,Finance,99659,40,2013-03-09,True
328,Chris,Johnson,matthew.rodriguez328@company.com,Engineering,78619,44,2022-08-12,False
329,Jessica,Miller,amanda.martinez329@company.com,HR,101717,40,2010-12-10,False
330,Jessica,Miller,john.smith330@company.com,Sales,143530,37,2012-08-19,False
331,Michael,Jones,jane.johnson331@company.com,Marketing,118035,36,2017-09-11,False
332,Sarah,Johnson,michael.williams332@company.com,Sales,103570,62,2020-02-27,True
333,Jessica,Smith,emily.brown333@company.com,Sales,65204,51,2013-06-21,False
334,Michael,Williams,david.jones334@company.com,Operations,54454,48,2012-02-17,False
335,Amanda,Rodriguez,sarah.garcia335@company.com,Marketing,66255,27,2018-09-06,False
336,Michael,Williams,chris.miller336@company.com,Engineering,59056,39,2010-11-02,True
337,Matthew,Miller,jessica.davis337@company.com,Engineering,119297,64,2016-01-21,True
338,Chris,Davis,matthew.rodriguez338@company.com,Sales,68771,63,2018-01-23,True
339,Jessica,Jones,amanda.martinez339@company.com,Operations,148933,60,2020-10-10,True
340,Amanda,Miller,john.smith340@company.com,Sales,88617,39,2015-05-23,False
341,Emily,Rodriguez,jane.johnson341@company.com,HR,84037,42,2023-07-13,False
342,David,Rodriguez,michael.williams342@company.com,HR,83316,42,2013-01-02,False
343,Sarah,Smith,emily.brown343@company.com,HR,132579,39,2017-06-27,False
344,Chris,Rodriguez,david.jones344@company.com,Finance,66115,38,2022-12-06,False
