sale_id,product_id,product_name,category,employee_id,employee_name,quantity,unit_price,discount,total,sale_date,region
SALE00035,PRD0011,Clothing Ultra 11,Clothing,893,Amanda Jones,6,351.61,0.22,1645.53,2023-11-19,South
SALE00036,PRD0101,Books Max 101,Books,862,John Smith,8,905.84,0.04,6956.85,2023-03-03,North
SALE00037,PRD0056,Food Pro 56,Food,804,Sarah Brown,5,900.75,0.17,3738.11,2023-05-25,North
SALE00038,PRD0009,Food Lite 9,Food,779,Jane Williams,9,177.47,0.29,1134.03,2023-06-08,South
SALE00039,PRD0091,Toys Ultra 91,Toys,244,John Williams,2,501.06,0.27,731.55,2023-08-10,North
SALE00040,PRD0192,Home Plus 192,Home,698,Michael Williams,2,802.97,0.24,1220.51,2023-01-20,North
SALE00041,PRD0055,Food Classic 55,Food,801,Sarah Smith,3,952.31,0.3,1999.85,2023-01-18,North
SALE00042,PRD0153,Books Lite 153,Books,805,Jessica Rodriguez,2,729.74,0.14,1255.15,2023-04-12,West
SALE00043,PRD0108,Food Plus 108,Food,660,David Garcia,2,68.65,0.26,101.6,2023-01-05,West
SALE00044,PRD0123,Home Lite 123,Home,29,Chris Williams,5,764.88,0.15,3250.74,2023-10-08,North
SALE00045,PRD0027,Home Lite 27,Home,927,Jane Martinez,4,20.14,0.16,67.67,2023-03-08,South
SALE00046,PRD0157,Clothing Ultra 157,Clothing,715,Chris Rodriguez,3,168.73,0.18,415.08,2023-01-02,South
SALE00047,PRD0050,Books Lite 50,Books,587,Amanda Smith,10,247.61,0.1,2228.49,2023-04-24,East
SALE00048,PRD0073,Food Plus 73,Food,730,Sarah Garcia,10,406.34,0.0,4063.4,2023-07-14,South
SALE00049,PRD0018,Electronics Lite 18,Electronics,644,David Johnson,3,566.28,0.1,1528.96,2023-04-03,South
SALE00050,PRD0079,Clothing Lite 79,Clothing,885,Chris Davis,3,697.35,0.06,1966.53,2023-02-04,West
SALE00051,PRD0149,Clothing Max 149,Clothing,271,Amanda Williams,6,597.08,0.06,3367.53,2023-03-24,West
SALE00052,PRD0034,Books Ultra 34,Books,983,John Davis,3,636.91,0.15,1624.12,2023-03-09,East
SALE00053,PRD0195,Home Ultra 195,Home,50,Chris Miller,9,589.09,0.27,3870.32,2023-12-18,West
SALE00054,PRD0169,Toys Ultra 169,Toys,268,Sarah Miller,4,348.5,0.25,1045.5,2023-08-05,North
SALE00055,PRD0199,Toys Max 199,Toys,721,Chris Davis,7,152.82,0.12,941.37,2023-07-17,West
SALE00056,PRD0187,Electronics Ultra 187,Electronics,373,Amanda Martinez,7,76.92,0.16,452.29,2023-05-17,North
SALE00057,PRD0169,Toys Ultra 169,Toys,537,Chris Jones,6,348.5,0.24,1589.16,2023-06-29,North
SALE00058,PRD0111,Electronics Plus 111,Electronics,573,Jane Smith,4,964.44,0.07,3587.72,2023-04-25,South
SALE00059,PRD0085,Books Classic 85,Books,22,Jessica Johnson,1,577.16,0.16,484.81,2023-03-29,North
SALE00060,PRD0112,Books Pro 112,Books,563,Matthew Jones,3,820.78,0.26,1822.13,2023-07-17,West
SALE00061,PRD0139,Electronics Lite 139,Electronics,511,Chris Smith,10,890.61,0.03,8638.92,2023-10-23,West
SALE00062,PRD0006,Electronics Classic 6,Electronics,74,Sarah Johnson,1,914.95,0.08,841.75,2023-08-26,West
SALE00063,PRD0179,Food Lite 179,Food,487,Emily Garcia,9,682.16,0.3,4297.61,2023-04-21,East
SALE00064,PRD0099,Toys Max 99,Toys,469,Matthew Garcia,8,12.84,0.09,93.48,2023-12-16,West
SALE00065,PRD0052,Books Lite 52,Books,797,Emily Smith,3,840.24,0.21,1991.37,2023-02-16,West
SALE00066,PRD0173,Books Classic 173,Books,871,Chris Smith,10,116.92,0.11,1040.59,2023-11-30,East
SALE00067,PRD0178,Toys Classic 178,Toys,870,David Smith,8,560.91,0.09,4083.42,2023-06-06,South
SALE00068,PRD0048,Clothing Classic 48,Clothing,407,Sarah Jones,2,371.11,0.13,645.73,2023-12-25,North
SALE00069,PRD0131,Electronics Lite 131,Electronics,41,Jane Jones,9,221.99,0.15,1698.22,2023-01-18,West
SALE00070,PRD0192,Home Plus 192,Home,306,Jessica Williams,10,802.97,0.16,6744.95,2023-05-08,West
SALE00071,PRD0040,Books Lite 40,Books,594,Jane Miller,4,957.32,0.17,3178.3,2023-12-24,East
SALE00072,PRD0092,Food Ultra 92,Food,786,John Davis,5,531.86,0.11,2366.78,2023-10-01,West
SALE00073,PRD0146,Clothing Plus 146,Clothing,850,Chris Johnson,4,621.13,0.11,2211.22,2023-10-23,South
SALE00074,PRD0175,Food Classic 175,Food,565,Jessica Miller,2,809.08,0.19,1310.71,2023-06-14,West
SALE00075,PRD0104,Food Plus 104,Food,471,Jessica Williams,10,724.61,0.28,5217.19,2023-09-21,North
SALE00076,PRD0078,Food Ultra 78,Food,514,Michael Garcia,9,413.44,0.24,2827.93,2023-01-10,West
SALE00077,PRD0094,Books Lite 94,Books,285,Amanda Garcia,1,454.11,0.03,440.49,2023-10-03,West
SALE00078,PRD0131,Electronics Lite 131,Electronics,801,Sarah Smith,5,221.99,0.11,987.86,2023-05-07,South
SALE00079,PRD0033,Electronics Lite 33,Electronics,946,Jessica Johnson,6,453.85,0.25,2042.33,2023-11-03,North
SALE00080,PRD0130,Food Classic 130,Food,644,David Johnson,5,993.32,0.02,4867.27,2023-11-15,North
SALE00081,PRD0154,Electronics Lite 154,Electronics,784,Jessica Miller,2,608.95,0.14,1047.39,2023-01-12,North
SALE00082,PRD0109,Books Pro 109,Books,91,John Johnson,8,473.42,0.23,2916.27,2023-10-24,East
SALE00083,PRD0131,Electronics Lite 131,Electronics,965,Chris Martinez,7,221.99,0.04,1491.77,2023-11-12,North
SALE00084,PRD0181,Home Ultra 181,Home,108,David Johnson,10,503.53,0.22,3927.53,2023-07-31,East
SALE00085,PRD0119,Clothing Ultra 119,Clothing,214,Chris Davis,1,970.28,0.08,892.66,2023-08-16,East
SALE00086,PRD0199,Toys Max 199,Toys,788,Chris Miller,9,152.82,0.14,1182.83,2023-12-25,South
SALE00087,PRD0048,Clothing Classic 48,Clothing,14,Chris Brown,5,371.11,0.28,1336.0,2023-12-05,South
SALE00088,PRD0115,Home Ultra 115,Home,18,Michael Garcia,8,698.07,0.13,4858.57,2023-11-09,South
SALE00089,PRD0002,Food Ultra 2,Food,679,Jessica Smith,1,343.28,0.01,339.85,2023-09-04,East
SALE00090,PRD0016,Electronics Max 16,Electronics,231,David Williams,6,703.57,0.04,4052.56,2023-09-02,South
SALE00091,PRD0185,Clothing Lite 185,Clothing,129,Jane Miller,6,573.27,0.23,2648.51,2023-10-06,West
SALE00092,PRD0196,Books Classic 196,Books,249,David Miller,4,690.98,0.16,2321.69,2023-07-23,West
SALE00093,PRD0081,Clothing Max 81,Clothing,829,Jane Martinez,9,346.05,0.03,3021.02,2023-04-02,East
SALE00094,PRD0055,Food Classic 55,Food,711,Amanda Johnson,2,952.31,0.3,1333.23,2023-06-12,South
SALE00095,PRD0103,Home Lite 103,Home,480,Amanda Martinez,2,944.26,0.01,1869.63,2023-09-16,North
SALE00096,PRD0139,Electronics Lite 139,Electronics,434,Jane Garcia,9,890.61,0.22,6252.08,2023-11-19,South
SALE00097,PRD0179,Food Lite 179,Food,29,Chris Williams,6,682.16,0.24,3110.65,2023-12-05,South
SALE00098,PRD0145,Home Plus 145,Home,367,Sarah Brown,1,40.84,0.2,32.67,2023-10-04,South
SALE00099,PRD0029,Toys Plus 29,Toys,445,Chris Smith,10,524.18,0.28,3774.1,2023-08-02,East
SALE00100,PRD0131,Electronics Lite 131,Electronics,983,John Davis,9,221.99,0.08,1838.08,2023-06-23,North
SALE00101,PRD0168,Home Classic 168,Home,614,Chris Williams,5,685.65,0.11,3051.14,2023-09-21,West
SALE00102,PRD0170,Home Max 170,Home,397,Sarah Brown,4,422.68,0.25,1268.04,2023-11-02,West
SALE00103,PRD0172,Food Plus 172,Food,913,Jessica Rodriguez,9,180.02,0.16,1360.95,2023-07-28,North
SALE00104,PRD0078,Food Ultra 78,Food,49,John Smith,2,413.44,0.1,744.19,2023-08-03,West
SALE00105,PRD0018,Electronics Lite 18,Electronics,96,Emily Davis,2,566.28,0.09,1030.63,2023-08-18,East
SALE00106,PRD0157,Clothing Ultra 157,Clothing,714,Sarah Garcia,8,168.73,0.2,1079.87,2023-10-16,East
SALE00107,PRD0154,Electronics Lite 154,Electronics,646,Michael Martinez,6,608.95,0.24,2776.81,2023-11-08,South
SALE00108,PRD0129,Food Max 129,Food,546,David Davis,2,698.9,0.12,1230.06,2023-02-25,South
SALE00109,PRD0045,Toys Lite 45,Toys,431,Amanda Jones,10,788.89,0.19,6390.01,2023-11-18,East
SALE00110,PRD0061,Toys Max 61,Toys,601,David Rodriguez,2,739.54,0.0,1479.08,2023-08-02,South
SALE00111,PRD0152,Electronics Classic 152,Electronics,662,Emily Miller,4,699.16,0.07,2600.88,2023-05-12,South
SALE00112,PRD0149,Clothing Max 149,Clothing,287,David Brown,6,597.08,0.1,3224.23,2023-07-14,East
SALE00113,PRD0032,Clothing Plus 32,Clothing,558,Jessica Rodriguez,5,374.4,0.17,1553.76,2023-03-23,East
SALE00114,PRD0168,Home Classic 168,Home,986,Chris Garcia,1,685.65,0.13,596.52,2023-11-07,East
SALE00115,PRD0046,Electronics Plus 46,Electronics,906,Jessica Smith,2,85.63,0.17,142.15,2023-09-22,North
SALE00116,PRD0015,Food Ultra 15,Food,660,David Garcia,6,537.47,0.26,2386.37,2023-07-28,East
SALE00117,PRD0047,Electronics Lite 47,Electronics,985,Sarah Rodriguez,7,885.14,0.03,6010.1,2023-01-02,North
SALE00118,PRD0058,Books Plus 58,Books,634,Matthew Jones,4,228.09,0.11,812.0,2023-02-16,East
SALE00119,PRD0001,Books Lite 1,Books,628,Sarah Jones,2,859.12,0.18,1408.96,2023-09-28,North
SALE00120,PRD0124,Home Pro 124,Home,882,Emily Garcia,1,822.81,0.13,715.84,2023-05-06,South
SALE00121,PRD0042,Books Lite 42,Books,432,Chris Brown,7,336.41,0.12,2072.29,2023-03-09,South
SALE00122,PRD0045,Toys Lite 45,Toys,960,Amanda Jones,9,788.89,0.24,5396.01,2023-10-17,West
SALE00123,PRD0108,Food Plus 108,Food,244,John Williams,8,68.65,0.25,411.9,2023-09-22,North
SALE00124,PRD0128,Food Plus 128,Food,651,Emily Rodriguez,8,999.18,0.16,6714.49,2023-10-18,East
SALE00125,PRD0149,Clothing Max 149,Clothing,782,John Rodriguez,6,597.08,0.12,3152.58,2023-09-19,West
SALE00126,PRD0181,Home Ultra 181,Home,502,Michael Johnson,2,503.53,0.28,725.08,2023-03-28,North
SALE00127,PRD0182,Books Lite 182,Books,821,Michael Johnson,3,179.34,0.27,392.75,2023-01-09,West
SALE00128,PRD0166,Home Plus 166,Home,904,Michael Brown,5,257.88,0.04,1237.82,2023-04-04,West
SALE00129,PRD0043,Home Ultra 43,Home,26,David Williams,9,773.4,0.1,6264.54,2023-09-20,North
SALE00130,PRD0030,Home Pro 30,Home,287,David Brown,7,504.4,0.28,2542.18,2023-08-20,East
SALE00131,PRD0033,Electronics Lite 33,Electronics,139,David Garcia,10,453.85,0.26,3358.49,2023-06-26,East
SALE00132,PRD0184,Home Max 184,Home,813,John Garcia,4,95.62,0.29,271.56,2023-11-12,North
SALE00133,PRD0128,Food Plus 128,Food,880,Emily Davis,4,999.18,0.07,3716.95,2023-06-05,West
SALE00134,PRD0167,Electronics Max 167,Electronics,278,Sarah Jones,7,547.61,0.11,3411.61,2023-07-31,North
SALE00135,PRD0198,Toys Pro 198,Toys,173,Jessica Rodriguez,5,391.68,0.27,1429.63,2023-05-30,East
SALE00136,PRD0190,Clothing Lite 190,Clothing,289,David Rodriguez,4,773.2,0.19,2505.17,2023-08-25,North
SALE00137,PRD0137,Electronics Pro 137,Electronics,941,Sarah Johnson,8,644.14,0.18,4225.56,2023-10-31,East
SALE00138,PRD0055,Food Classic 55,Food,200,Michael Jones,10,952.31,0.1,8570.79,2023-05-08,West
SALE00139,PRD0178,Toys Classic 178,Toys,476,Matthew Garcia,1,560.91,0.18,459.95,2023-03-18,East
SALE00140,PRD0107,Toys Classic 107,Toys,106,Matthew Miller,4,665.02,0.1,2394.07,2023-04-13,South
SALE00141,PRD0144,Clothing Plus 144,Clothing,345,Michael Smith,6,253.14,0.08,1397.33,2023-10-03,West
SALE00142,PRD0100,Electronics Classic 100,Electronics,139,David Garcia,3,619.04,0.29,1318.56,2023-10-07,West
SALE00143,PRD0033,Electronics Lite 33,Electronics,522,Chris Smith,2,453.85,0.12,798.78,2023-05-02,West
SALE00144,PRD0089,Books Classic 89,Books,747,Matthew Jones,3,600.78,0.21,1423.85,2023-11-26,West
SALE00145,PRD0164,Toys Pro 164,Toys,127,Jane Johnson,1,566.55,0.19,458.91,2023-03-10,North
SALE00146,PRD0135,Books Plus 135,Books,341,Emily Rodriguez,9,361.74,0.1,2930.09,2023-07-26,East
SALE00147,PRD0007,Toys Ultra 7,Toys,386,Sarah Garcia,8,818.62,0.08,6025.04,2023-01-26,North
SALE00148,PRD0183,Toys Classic 183,Toys,862,John Smith,2,864.73,0.13,1504.63,2023-07-30,South
SALE00149,PRD0111,Electronics Plus 111,Electronics,89,Amanda Jones,4,964.44,0.29,2739.01,2023-02-06,South
SALE00150,PRD0054,Home Pro 54,Home,210,David Smith,4,846.89,0.3,2371.29,2023-02-02,South
SALE00151,PRD0193,Food Plus 193,Food,888,Michael Johnson,6,541.0,0.26,2402.04,2023-12-03,North
SALE00152,PRD0186,Home Plus 186,Home,919,Jane Johnson,8,554.0,0.15,3767.2,2023-12-21,South
SALE00153,PRD0170,Home Max 170,Home,248,Emily Williams,8,422.68,0.07,3144.74,2023-04-10,South
SALE00154,PRD0174,Home Ultra 174,Home,732,Emily Garcia,9,557.04,0.19,4060.82,2023-11-06,West
SALE00155,PRD0030,Home Pro 30,Home,23,Sarah Johnson,1,504.4,0.06,474.14,2023-09-10,East
SALE00156,PRD0100,Electronics Classic 100,Electronics,402,Chris Brown,9,619.04,0.03,5404.22,2023-04-16,East
SALE00157,PRD0025,Electronics Ultra 25,Electronics,604,John Martinez,2,32.43,0.19,52.54,2023-05-11,West
SALE00158,PRD0132,Electronics Ultra 132,Electronics,258,Sarah Davis,1,531.37,0.05,504.8,2023-12-14,East
SALE00159,PRD0018,Electronics Lite 18,Electronics,276,Sarah Brown,4,566.28,0.11,2015.96,2023-01-09,North
SALE00160,PRD0082,Home Max 82,Home,517,Amanda Martinez,10,978.26,0.21,7728.25,2023-11-01,North
SALE00161,PRD0184,Home Max 184,Home,160,Michael Johnson,3,95.62,0.28,206.54,2023-09-10,East
SALE00162,PRD0082,Home Max 82,Home,705,Matthew Martinez,1,978.26,0.0,978.26,2023-03-05,North
SALE00163,PRD0009,Food Lite 9,Food,832,David Jones,10,177.47,0.02,1739.21,2023-09-05,South
SALE00164,PRD0140,Food Ultra 140,Food,353,David Brown,4,596.46,0.28,1717.8,2023-02-19,East
SALE00165,PRD0067,Home Ultra 67,Home,260,Emily Miller,6,787.94,0.06,4443.98,2023-03-28,North
SALE00166,PRD0093,Toys Classic 93,Toys,859,John Davis,2,685.18,0.06,1288.14,2023-03-30,East
SALE00167,PRD0001,Books Lite 1,Books,39,Sarah Rodriguez,6,859.12,0.1,4639.25,2023-06-14,West
SALE00168,PRD0019,Clothing Ultra 19,Clothing,402,Chris Brown,5,341.89,0.06,1606.88,2023-07-22,South
SALE00169,PRD0047,Electronics Lite 47,Electronics,121,Sarah Rodriguez,1,885.14,0.01,876.29,2023-07-17,South
SALE00170,PRD0009,Food Lite 9,Food,100,Jane Garcia,6,177.47,0.17,883.8,2023-06-19,South
SALE00171,PRD0162,Home Pro 162,Home,866,Matthew Davis,5,691.49,0.06,3250.0,2023-02-05,North
SALE00172,PRD0157,Clothing Ultra 157,Clothing,640,Sarah Johnson,9,168.73,0.09,1381.9,2023-01-14,West
SALE00173,PRD0012,Clothing Max 12,Clothing,775,Michael Jones,2,664.96,0.26,984.14,2023-03-22,South
SALE00174,PRD0111,Electronics Plus 111,Electronics,511,Chris Smith,3,964.44,0.04,2777.59,2023-12-23,East
SALE00175,PRD0053,Electronics Max 53,Electronics,694,Sarah Miller,10,694.33,0.06,6526.7,2023-07-17,West
SALE00176,PRD0151,Food Pro 151,Food,929,Matthew Garcia,3,151.56,0.24,345.56,2023-07-20,West
SALE00177,PRD0021,Books Max 21,Books,449,Emily Brown,4,706.13,0.03,2739.78,2023-02-25,West
SALE00178,PRD0060,Clothing Max 60,Clothing,586,Amanda Rodriguez,1,108.06,0.23,83.21,2023-01-25,East
SALE00179,PRD0185,Clothing Lite 185,Clothing,538,Jane Davis,3,573.27,0.04,1651.02,2023-01-26,South
SALE00180,PRD0145,Home Plus 145,Home,334,Michael Williams,2,40.84,0.16,68.61,2023-12-02,North
SALE00181,PRD0179,Food Lite 179,Food,931,Jane Garcia,6,682.16,0.29,2906.0,2023-12-28,North
SALE00182,PRD0140,Food Ultra 140,Food,686,David Miller,1,596.46,0.06,560.67,2023-06-11,South
SALE00183,PRD0139,Electronics Lite 139,Electronics,480,Amanda Martinez,7,890.61,0.2,4987.42,2023-01-16,South
SALE00184,PRD0012,Clothing Max 12,Clothing,298,Chris Johnson,2,664.96,0.2,1063.94,2023-01-29,North
SALE00185,PRD0084,Toys Plus 84,Toys,520,Michael Martinez,4,307.35,0.24,934.34,2023-04-23,West
SALE00186,PRD0098,Electronics Max 98,Electronics,216,Jessica Garcia,3,365.15,0.28,788.72,2023-02-06,North
SALE00187,PRD0092,Food Ultra 92,Food,265,Emily Smith,10,531.86,0.05,5052.67,2023-07-07,South
SALE00188,PRD0001,Books Lite 1,Books,295,Emily Jones,8,859.12,0.18,5635.83,2023-03-10,North
SALE00189,PRD0031,Home Pro 31,Home,613,Sarah Rodriguez,8,972.95,0.2,6226.88,2023-12-22,East
SALE00190,PRD0120,Food Ultra 120,Food,799,David Jones,8,443.64,0.2,2839.3,2023-11-02,West
SALE00191,PRD0176,Clothing Pro 176,Clothing,59,Michael Miller,3,203.64,0.0,610.92,2023-09-08,West
SALE00192,PRD0118,Electronics Lite 118,Electronics,439,Michael Johnson,10,990.65,0.15,8420.52,2023-10-20,North
SALE00193,PRD0058,Books Plus 58,Books,63,Jessica Brown,2,228.09,0.16,383.19,2023-06-21,North
SALE00194,PRD0083,Toys Ultra 83,Toys,857,Jane Rodriguez,9,331.12,0.21,2354.26,2023-03-12,West
SALE00195,PRD0012,Clothing Max 12,Clothing,37,Emily Garcia,9,664.96,0.15,5086.94,2023-07-08,South
SALE00196,PRD0179,Food Lite 179,Food,602,Chris Davis,4,682.16,0.2,2182.91,2023-05-09,East
SALE00197,PRD0098,Electronics Max 98,Electronics,580,Michael Davis,3,365.15,0.28,788.72,2023-07-16,North
SALE00198,PRD0122,Books Classic 122,Books,93,Emily Smith,6,519.26,0.25,2336.67,2023-08-09,South
SALE00199,PRD0138,Food Max 138,Food,282,Jessica Jones,4,228.49,0.19,740.31,2023-11-29,North
SALE00200,PRD0095,Toys Classic 95,Toys,855,Matthew Rodriguez,5,682.99,0.05,3244.2,2023-08-15,West
SALE00201,PRD0022,Home Classic 22,Home,850,Chris Johnson,5,544.88,0.13,2370.23,2023-03-22,North
SALE00202,PRD0056,Food Pro 56,Food,749,Emily Williams,5,900.75,0.1,4053.38,2023-10-13,East
SALE00203,PRD0177,Books Ultra 177,Books,827,Amanda Jones,5,823.17,0.22,3210.36,2023-06-08,East
SALE00204,PRD0172,Food Plus 172,Food,37,Emily Garcia,7,180.02,0.21,995.51,2023-02-01,South
SALE00205,PRD0117,Home Lite 117,Home,204,Sarah Martinez,8,760.17,0.02,5959.73,2023-10-20,West
SALE00206,PRD0050,Books Lite 50,Books,679,Jessica Smith,6,247.61,0.04,1426.23,2023-04-19,South
SALE00207,PRD0188,Toys Ultra 188,Toys,630,Jane Garcia,10,332.44,0.15,2825.74,2023-11-05,West
SALE00208,PRD0039,Toys Lite 39,Toys,127,Jane Johnson,4,372.16,0.03,1443.98,2023-11-14,East
SALE00209,PRD0122,Books Classic 122,Books,531,Emily Davis,7,519.26,0.09,3307.69,2023-12-22,West
SALE00210,PRD0075,Toys Classic 75,Toys,22,Jessica Johnson,4,471.31,0.07,1753.27,2023-04-29,East
SALE00211,PRD0020,Clothing Ultra 20,Clothing,362,Michael Johnson,9,82.23,0.24,562.45,2023-12-02,North
SALE00212,PRD0019,Clothing Ultra 19,Clothing,264,John Garcia,9,341.89,0.28,2215.45,2023-06-08,West
SALE00213,PRD0150,Home Lite 150,Home,784,Jessica Miller,5,871.55,0.17,3616.93,2023-02-02,North
SALE00214,PRD0005,Electronics Lite 5,Electronics,752,David Jones,5,238.32,0.3,834.12,2023-12-29,West
SALE00215,PRD0054,Home Pro 54,Home,607,Chris Johnson,5,846.89,0.11,3768.66,2023-07-08,East
SALE00216,PRD0049,Home Lite 49,Home,478,Sarah Johnson,9,608.77,0.15,4657.09,2023-01-06,North
SALE00217,PRD0185,Clothing Lite 185,Clothing,364,John Smith,9,573.27,0.22,4024.36,2023-04-05,North
SALE00218,PRD0029,Toys Plus 29,Toys,89,Amanda Jones,8,524.18,0.28,3019.28,2023-12-17,West
SALE00219,PRD0161,Electronics Plus 161,Electronics,374,Emily Rodriguez,5,498.33,0.08,2292.32,2023-05-29,West
SALE00220,PRD0079,Clothing Lite 79,Clothing,26,David Williams,4,697.35,0.18,2287.31,2023-05-16,East
SALE00221,PRD0189,Clothing Max 189,Clothing,631,Emily Martinez,6,238.27,0.15,1215.18,2023-06-20,South
SALE00222,PRD0088,Books Pro 88,Books,759,Jane Jones,9,894.62,0.03,7810.03,2023-02-12,North
SALE00223,PRD0014,Books Plus 14,Books,58,Matthew Garcia,6,681.83,0.23,3150.05,2023-11-05,South
SALE00224,PRD0173,Books Classic 173,Books,686,David Miller,9,116.92,0.08,968.1,2023-03-03,North
SALE00225,PRD0064,Food Lite 64,Food,543,Sarah Garcia,4,756.46,0.19,2450.93,2023-03-29,South
SALE00226,PRD0140,Food Ultra 140,Food,437,Emily Garcia,1,596.46,0.02,584.53,2023-12-21,West
SALE00227,PRD0030,Home Pro 30,Home,53,John Jones,9,504.4,0.18,3722.47,2023-08-01,South
SALE00228,PRD0194,Clothing Pro 194,Clothing,503,Jessica Jones,5,605.74,0.04,2907.55,2023-07-28,East
SALE00229,PRD0191,Clothing Classic 191,Clothing,177,Jane Martinez,4,625.22,0.09,2275.8,2023-06-25,East
SALE00230,PRD0133,Food Max 133,Food,258,Sarah Davis,1,10.77,0.2,8.62,2023-09-26,West
SALE00231,PRD0090,Electronics Ultra 90,Electronics,118,David Davis,9,900.22,0.09,7372.8,2023-09-01,West
SALE00232,PRD0021,Books Max 21,Books,177,Jane Martinez,1,706.13,0.3,494.29,2023-11-21,East
SALE00233,PRD0022,Home Classic 22,Home,42,Matthew Miller,5,544.88,0.11,2424.72,2023-09-12,East
SALE00234,PRD0078,Food Ultra 78,Food,418,Sarah Williams,4,413.44,0.26,1223.78,2023-02-25,South
SALE00235,PRD0024,Home Pro 24,Home,769,Jane Johnson,4,943.79,0.24,2869.12,2023-06-06,West
SALE00236,PRD0082,Home Max 82,Home,433,Emily Smith,6,978.26,0.02,5752.17,2023-12-26,East
SALE00237,PRD0025,Electronics Ultra 25,Electronics,362,Michael Johnson,7,32.43,0.27,165.72,2023-02-10,East
SALE00238,PRD0047,Electronics Lite 47,Electronics,998,Matthew Rodriguez,2,885.14,0.23,1363.12,2023-08-25,South
SALE00239,PRD0156,Home Classic 156,Home,227,John Garcia,7,790.81,0.27,4041.04,2023-05-20,West
